1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
100723,107762,105323,107142,128637,132830,129478,125340,121377,117584,133830,133185,155338,177099,178910,188026,199509,211796,222339
177938,187870,182059,185018,230365,239214,227729,220245,213064,206179,235053,250858,275716,296046,292764,309397,325723,345285,363361
25924,27806,28371,28832,28118,29808,32057,30999,29984,29010,33081,47298,56155,64658,68741,74626,82325,90371,98138
225862,237233,231190,234616,283150,289679,284168,275401,267022,259023,294224,191049,238141,283561,294354,314710,339930,364976,384416
91616,97548,95076,96428,113530,116648,115918,112375,108992,105765,120075,119403,134338,148085,147727,155840,163662,172334,180009
189324,203641,200509,203453,254248,261728,249986,242318,234993,228003,258906,227726,276701,323057,333522,357745,386687,414170,438975
37407,39044,37954,38484,46125,47793,46577,45051,43589,42187,48084,57333,62937,67301,66571,70434,75748,80903,85744
7120,7718,7625,7683,8628,8790,9075,8783,8504,8236,9377,13426,14789,15847,15741,16569,17890,18928,20001
145190,154002,149584,152335,180461,187820,183590,177605,171866,166366,189574,119857,149365,174021,183874,200984,220377,240100,260131
21276,22830,22218,22621,28026,28991,27847,27005,26201,25434,28859,49437,55606,61564,61961,65468,69519,73728,77413
105409,114567,111889,114071,146143,152669,141838,137169,132690,128394,146388,182964,202701,218923,218661,232865,248515,267494,284212
42016,44583,43168,43827,54980,57436,54174,52511,50922,49407,56105,79186,87419,93928,92685,97710,105827,109500,116727
186674,193520,186567,189696,230917,241029,231549,223596,215946,208589,238445,238514,265117,286716,287148,305222,324458,346670,368058
190848,199705,191911,195321,234428,243885,237045,229075,221419,214065,244381,219484,252292,277621,278865,296020,313440,332701,349872
164961,172940,166466,170320,208674,216973,207971,200830,193961,187354,214168,199710,227323,253189,258320,276485,296166,319353,341557
101899,108495,105449,106556,128197,130746,129253,125363,121650,118112,133983,128013,145455,161515,161568,170238,178640,188305,196595
